sheepX,sheepY,wolfX,wolfY
0,100,0,50
1,106,1,55
2,107,2,55
3,114,3,57
4,120,4,55
5,125,5,60
6,126,6,67
7,128,7,63
8,130,8,62
9,137,9,66
10,144,10,72
11,148,11,70
12,150,12,65
13,154,13,67
14,159,14,67
15,161,15,67
16,164,16,69
17,164,17,63
18,169,18,66
19,169,19,67
20,172,20,62
21,182,21,60
22,187,22,58
23,192,23,62
24,192,24,65
25,195,25,68
26,202,26,68
27,202,27,69
28,205,28,76
29,206,29,75
30,211,30,71
31,216,31,63
32,219,32,62
33,223,33,60
34,230,34,61
35,236,35,62
36,238,36,69
37,246,37,70
38,250,38,77
39,254,39,82
40,256,40,85
41,255,41,94
42,253,42,104
43,253,43,109
44,255,44,108
45,264,45,112
46,256,46,114
47,259,47,120
48,260,48,125
49,258,49,127
50,257,50,132
51,256,51,137
52,260,52,140
53,258,53,133
54,261,54,138
55,255,55,138
56,256,56,140
57,253,57,144
58,259,58,155
59,260,59,159
60,259,60,163
61,250,61,168
62,247,62,174
63,246,63,178
64,240,64,178
65,240,65,184
66,232,66,194
67,232,67,198
68,229,68,198
69,222,69,198
70,223,70,199
71,222,71,207
72,219,72,210
73,207,73,218
74,201,74,220
75,189,75,227
76,184,76,235
77,180,77,234
78,184,78,245
79,183,79,251
80,179,80,254
81,172,81,261
82,167,82,254
83,159,83,266
84,153,84,270
85,143,85,274
86,141,86,275
87,129,87,271
88,125,88,279
89,116,89,281
90,115,90,286
91,102,91,292
92,104,92,292
93,98,93,297
94,94,94,283
95,88,95,283
96,89,96,271
97,86,97,268
98,82,98,261
99,76,99,258
100,73,100,259
101,72,101,248
102,65,102,237
103,62,103,226
104,58,104,227
105,53,105,224
106,50,106,213
107,48,107,212
108,50,108,204
109,49,109,198
110,49,110,188
111,44,111,181
112,45,112,172
113,41,113,164
114,40,114,160
115,39,115,162
116,41,116,156
117,40,117,148
118,42,118,144
119,40,119,135
120,36,120,124
121,37,121,116
122,39,122,97
123,39,123,94
124,39,124,88
125,40,125,84
126,39,126,79
127,38,127,67
128,39,128,67
129,41,129,64
130,44,130,55
131,43,131,53
132,44,132,43
133,47,133,36
134,47,134,35
135,49,135,34
136,49,136,33
137,51,137,33
138,52,138,30
139,49,139,24
140,48,140,24
141,50,141,26
142,52,142,29
143,53,143,28
144,54,144,22
145,55,145,24
146,57,146,26
147,57,147,22
148,61,148,20
149,63,149,18
150,64,150,17
151,64,151,16
152,65,152,18
153,67,153,15
154,69,154,14
155,69,155,16
156,73,156,13
157,76,157,10
158,80,158,11
159,82,159,13
160,84,160,13
161,85,161,10
162,91,162,10
163,94,163,11
164,97,164,11
165,101,165,10
166,103,166,8
167,106,167,6
168,105,168,6
169,110,169,6
170,118,170,6
171,124,171,7
172,129,172,5
173,135,173,4
174,143,174,4
175,149,175,5
176,156,176,5
177,162,177,5
178,171,178,7
179,180,179,8
180,188,180,8
181,194,181,9
182,202,182,9
183,207,183,7
184,210,184,8
185,217,185,8
186,225,186,9
187,243,187,8
188,253,188,9
189,263,189,11
190,277,190,12
191,287,191,10
192,297,192,9
193,307,193,9
194,323,194,9
195,332,195,7
196,349,196,8
197,363,197,8
198,373,198,6
199,389,199,5
200,403,200,4
