sheapx,sheapy,wolfx,wolfy,grassx,grassy
0,100,0,50,0,327.5
1,97,1,49,1,324.75
2,96,2,48,2,323
3,92,3,44,3,321.5
4,94,4,43,4,319.75
5,93,5,43,5,322.25
6,91,6,39,6,322.75
7,89,7,38,7,324
8,91,8,34,8,324.75
9,89,9,30,9,324.5
10,90,10,28,10,322.5
11,92,11,28,11,320.25
12,92,12,27,12,322
13,94,13,23,13,322.25
14,94,14,24,14,321.5
15,96,15,21,15,318.5
16,95,16,20,16,316.5
17,96,17,18,17,318.25
18,99,18,14,18,315.25
19,101,19,11,19,317.25
20,102,20,9,20,317.75
21,105,21,8,21,318.5
22,107,22,7,22,321
23,109,23,7,23,316.5
24,112,24,7,24,317.5
25,113,25,6,25,314
26,116,26,6,26,315
27,118,27,6,27,313.5
28,119,28,5,28,310.75
29,123,29,4,29,312.75
30,124,30,3,30,313.75
31,127,31,3,31,311
32,126,32,3,32,308.25
33,130,33,3,33,308.25
34,130,34,3,34,305
35,129,35,2,35,302.5
36,130,36,2,36,300.75
37,134,37,1,37,296.5
38,137,38,1,38,292.75
39,138,39,1,39,289.25
40,140,40,1,40,286.5
41,141,41,1,41,284.25
42,146,42,1,42,284.25
43,148,43,1,43,280.25
44,155,44,1,44,276.75
45,154,45,1,45,276.25
46,153,46,1,46,271.5
47,156,47,0,47,263
48,157,48,0,48,257.75
49,158,49,0,49,252.25
50,160,50,0,50,248.75
51,163,51,0,51,243.5
52,170,52,0,52,241
53,172,53,0,53,238
54,170,54,0,54,235.5
55,173,55,0,55,234
56,176,56,0,56,232.5
57,179,57,0,57,228.25
58,184,58,0,58,222.5
59,192,59,0,59,220.25
60,196,60,0,60,215.25
61,200,61,0,61,213
62,204,62,0,62,209.25
63,203,63,0,63,209
64,209,64,0,64,207.25
65,208,65,0,65,206.75
66,205,66,0,66,207.5
67,205,67,0,67,207
68,210,68,0,68,207.25
69,211,69,0,69,205.25
70,220,70,0,70,201.5
71,225,71,0,71,201
72,225,72,0,72,194.75
73,223,73,0,73,195
74,229,74,0,74,193.25
75,232,75,0,75,192.75
76,233,76,0,76,193
77,238,77,0,77,192.5
78,242,78,0,78,193.25
79,244,79,0,79,190.75
80,249,80,0,80,189.25
81,254,81,0,81,187.5
82,255,82,0,82,186.25
83,253,83,0,83,185.75
84,255,84,0,84,185.5
85,258,85,0,85,184
86,258,86,0,86,183.25
87,257,87,0,87,183
88,258,88,0,88,183.5
89,259,89,0,89,182
90,261,90,0,90,182.75
91,263,91,0,91,184.25
92,271,92,0,92,184.75
93,269,93,0,93,179.75
94,271,94,0,94,176.75
95,276,95,0,95,173.5
96,276,96,0,96,171.5
97,275,97,0,97,169.5
98,275,98,0,98,166.75
99,283,99,0,99,165.5
100,286,100,0,100,166.75
101,285,101,0,101,165.5
102,291,102,0,102,167
103,300,103,0,103,165
104,298,104,0,104,162.5
105,300,105,0,105,163.25
106,296,106,0,106,164
107,306,107,0,107,167.5
108,309,108,0,108,168.5
109,299,109,0,109,170.75
110,298,110,0,110,172
111,295,111,0,111,173.75
112,293,112,0,112,173.75
113,287,113,0,113,173.25
114,291,114,0,114,173.75
115,295,115,0,115,170.75
116,290,116,0,116,169.5
117,289,117,0,117,169.75
118,285,118,0,118,172
119,282,119,0,119,167.25
120,279,120,0,120,166.75
121,279,121,0,121,166.75
122,274,122,0,122,167
123,275,123,0,123,168.5
124,276,124,0,124,172.5
125,276,125,0,125,170.5
126,274,126,0,126,169.5
127,272,127,0,127,168.75
128,268,128,0,128,167
129,267,129,0,129,163
130,266,130,0,130,164.75
131,265,131,0,131,166.25
132,259,132,0,132,168.25
133,255,133,0,133,169.25
134,258,134,0,134,174.25
135,264,135,0,135,174.75
136,265,136,0,136,174
137,272,137,0,137,174.5
138,278,138,0,138,172.5
139,279,139,0,139,173
