sheepx,sheepy,wolfx,wolfy,grassx,grassy
0,100,0,50,0,330.25
1,107,1,48,1,332.75
2,114,2,50,2,330
3,118,3,50,3,328.75
4,133,4,54,4,324.25
5,144,5,54,5,318.25
6,151,6,51,6,313.25
7,168,7,47,7,309.75
8,179,8,47,8,301
9,195,9,47,9,299
10,213,10,45,10,289
11,225,11,52,11,278.75
12,240,12,52,12,270.5
13,262,13,47,13,263
14,278,14,49,14,251.5
15,301,15,48,15,241.5
16,321,16,46,16,225.25
17,351,17,43,17,212.25
18,371,18,45,18,199.75
19,406,19,47,19,185.5
20,415,20,51,20,172.25
21,443,21,50,21,157.5
22,470,22,50,22,143.75
23,495,23,51,23,135.75
24,517,24,53,24,123
25,542,25,54,25,111.75
26,574,26,53,26,105.5
27,585,27,55,27,97.75
28,602,28,58,28,90.5
29,626,29,58,29,82.75
30,676,30,62,30,77.25
31,702,31,67,31,71.5
32,735,32,70,32,67.75
33,737,33,71,33,68.25
34,760,34,69,34,70
35,762,35,74,35,70
36,751,36,83,36,70.5
37,753,37,89,37,69.75
38,730,38,92,38,73.5
39,714,39,97,39,71.75
40,685,40,101,40,76.75
41,641,41,104,41,77.25
42,612,42,106,42,80.5
43,604,43,113,43,83.25
44,592,44,117,44,88
45,583,45,120,45,90
46,576,46,126,46,96.5
47,563,47,127,47,102.5
48,544,48,133,48,107
49,538,49,141,49,112.5
50,519,50,151,50,118
51,518,51,159,51,121.25
52,517,52,163,52,127.25
53,514,53,171,53,125
54,509,54,177,54,125.5
55,510,55,186,55,124.5
56,510,56,190,56,123
57,494,57,198,57,124.5
58,486,58,210,58,121.75
59,479,59,218,59,116.5
60,476,60,223,60,114
61,456,61,230,61,114.25
62,443,62,246,62,108.5
63,418,63,258,63,106.5
64,400,64,266,64,104.25
65,397,65,276,65,105
66,388,66,283,66,106.25
67,367,67,298,67,108
68,346,68,303,68,107.25
69,330,69,317,69,109.25
70,314,70,333,70,110.25
71,286,71,353,71,115.25
72,282,72,366,72,117.75
73,274,73,374,73,126
74,254,74,383,74,131.25
75,234,75,402,75,137.5
76,217,76,414,76,145
77,203,77,428,77,151
78,173,78,448,78,159.75
79,158,79,466,79,168.5
80,141,80,485,80,177.25
81,119,81,500,81,190
82,100,82,517,82,201.5
83,89,83,535,83,217.5
84,88,84,556,84,232.25
85,74,85,569,85,246.75
86,68,86,563,86,259.5
87,58,87,565,87,271
