sheepX,sheepY,wolfX,wolfY
0,100,0,50
1,102,1,49
2,103,2,49
3,107,3,54
4,108,4,54
5,110,5,57
6,111,6,56
7,109,7,56
8,119,8,54
9,118,9,57
10,118,10,50
11,127,11,49
12,133,12,47
13,131,13,48
14,130,14,43
15,132,15,44
16,131,16,41
17,139,17,43
18,146,18,43
19,147,19,44
20,149,20,41
21,148,21,42
22,157,22,46
23,162,23,44
24,170,24,42
25,181,25,43
26,186,26,44
27,190,27,43
28,192,28,45
29,197,29,46
30,195,30,48
31,197,31,47
32,201,32,46
33,209,33,48
34,218,34,47
35,223,35,49
36,228,36,50
37,230,37,48
38,240,38,45
39,246,39,47
40,248,40,48
41,257,41,53
42,264,42,52
43,270,43,50
44,279,44,50
45,287,45,50
46,293,46,51
47,299,47,52
48,306,48,50
49,309,49,51
50,321,50,54
51,323,51,53
52,334,52,54
53,341,53,56
54,350,54,57
55,361,55,60
56,372,56,61
57,383,57,63
58,391,58,64
59,401,59,67
60,410,60,69
61,421,61,73
62,427,62,77
63,433,63,81
64,447,64,84
65,449,65,86
66,456,66,89
67,466,67,94
68,479,68,97
69,480,69,96
70,480,70,97
71,478,71,97
72,475,72,101
73,480,73,104
74,491,74,108
75,498,75,115
76,503,76,119
77,504,77,125
78,503,78,130
79,496,79,132
80,491,80,141
81,492,81,144
82,479,82,153
83,487,83,158
84,478,84,162
85,472,85,172
86,470,86,182
87,465,87,191
88,468,88,199
89,460,89,204
90,449,90,211
91,441,91,216
92,431,92,231
93,420,93,239
94,410,94,244
95,400,95,257
96,386,96,268
97,367,97,281
98,345,98,292
99,308,99,302
100,292,100,314
101,275,101,327
102,258,102,336
103,239,103,348
104,219,104,357
105,215,105,370
106,197,106,386
107,176,107,400
108,153,108,417
109,144,109,427
110,133,110,439
111,127,111,446
112,114,112,456
113,104,113,473
114,92,114,478
115,79,115,480
116,73,116,492
117,62,117,496
118,52,118,504
119,44,119,498
120,38,120,501
121,31,121,506
122,26,122,501
123,18,123,490
124,16,124,482
125,15,125,476
126,14,126,489
127,12,127,468
128,11,128,455
129,10,129,450
130,8,130,443
131,7,131,437
132,6,132,412
133,6,133,410
134,5,134,398
135,6,135,384
136,7,136,370
137,7,137,349
138,7,138,333
139,7,139,319
140,7,140,313
141,4,141,279
142,4,142,281
143,3,143,257
144,2,144,246
145,2,145,239
146,2,146,228
147,1,147,211
148,1,148,196
149,1,149,184
150,1,150,170
151,1,151,163
152,1,152,145
153,1,153,132
154,2,154,120
155,2,155,112
156,2,156,107
157,2,157,96
158,3,158,92
159,3,159,84
160,3,160,72
161,3,161,66
162,3,162,63
163,3,163,60
164,3,164,51
165,3,165,54
166,3,166,51
167,3,167,46
168,3,168,38
169,4,169,35
170,4,170,33
171,4,171,32
172,4,172,24
173,5,173,19
174,5,174,20
175,5,175,17
176,5,176,17
177,5,177,17
178,5,178,15
179,5,179,15
180,5,180,14
181,5,181,13
182,5,182,13
183,5,183,14
184,6,184,12
185,6,185,12
186,6,186,10
187,6,187,11
188,6,188,11
189,6,189,9
190,6,190,7
191,6,191,7
192,6,192,5
193,6,193,5
194,6,194,5
195,6,195,5
196,6,196,4
197,7,197,2
198,7,198,3
199,8,199,3
200,8,200,3
201,8,201,3
202,8,202,1
203,8,203,1
204,9,204,2
205,9,205,2
206,9,206,2
207,9,207,2
208,9,208,2
209,10,209,2
210,10,210,2
211,10,211,2
212,10,212,2
213,10,213,2
214,10,214,2
215,10,215,0
216,10,216,0
217,10,217,0
218,11,218,0
219,11,219,0
220,12,220,0
221,13,221,0
222,13,222,0
223,15,223,0
224,17,224,0
225,18,225,0
226,19,226,0
227,19,227,0
228,20,228,0
229,20,229,0
230,20,230,0
231,21,231,0
232,23,232,0
233,24,233,0
234,25,234,0
235,27,235,0
236,29,236,0
237,30,237,0
238,32,238,0
239,33,239,0
240,37,240,0
241,37,241,0
242,38,242,0
243,40,243,0
244,40,244,0
245,41,245,0
246,43,246,0
247,46,247,0
248,48,248,0
249,49,249,0
250,52,250,0
251,54,251,0
252,55,252,0
253,58,253,0
254,58,254,0
255,62,255,0
256,64,256,0
257,67,257,0
258,73,258,0
259,79,259,0
260,82,260,0
261,88,261,0
262,90,262,0
263,95,263,0
264,98,264,0
265,101,265,0
266,105,266,0
267,108,267,0
268,111,268,0
269,113,269,0
270,118,270,0
271,127,271,0
272,131,272,0
273,135,273,0
274,139,274,0
275,144,275,0
276,151,276,0
277,158,277,0
278,169,278,0
279,177,279,0
280,186,280,0
281,194,281,0
282,205,282,0
283,212,283,0
284,215,284,0
285,223,285,0
286,227,286,0
287,233,287,0
288,241,288,0
289,249,289,0
290,258,290,0
291,271,291,0
292,281,292,0
293,289,293,0
294,296,294,0
295,302,295,0
296,314,296,0
297,326,297,0
298,339,298,0
299,351,299,0
300,363,300,0
301,374,301,0
302,388,302,0
303,397,303,0
304,411,304,0
305,424,305,0
306,444,306,0
307,460,307,0
308,474,308,0
309,498,309,0
310,513,310,0
311,531,311,0
312,556,312,0
313,578,313,0
314,601,314,0
315,618,315,0
316,637,316,0
317,658,317,0
318,681,318,0
319,709,319,0
320,741,320,0
321,776,321,0
322,795,322,0
323,831,323,0
324,859,324,0
325,891,325,0
326,929,326,0
327,967,327,0
328,1004,328,0
